"time","customPlant.v_psgr","customPlant.v_trolley","customPlant.x_psgr","customPlant.x_trolley","pid.D.x","pid.I.y","der(customPlant.v_psgr)","der(customPlant.v_trolley)","der(customPlant.x_psgr)","der(customPlant.x_trolley)","der(pid.D.x)","der(pid.I.y)","multiSum.u[1]","multiSum.u[2]","multiSum.y","pid.Add.y","pid.D.y","pid.P.y","pid.y","customPlant.F_traction","lookUp.v_ideal","pid.Add.u1","pid.Add.u2","pid.Add.u3","pid.D.u","pid.Gain.u","pid.Gain.y","pid.I.u","pid.P.u","pid.u","product.u1","product.y"
0,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
0.6,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.2,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
1.8,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
2.4,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
3,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
3.6,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
4.2,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
4.8,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
5.4,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
6,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
6.6,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
7.2,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
7.8,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
8.4,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
9,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
9.6,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
10.00000000110036,0,0,0,0,0,0,-0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0
10.00000000110036,0,0,0,0,0,0,-14.77038333667356,14.77038333667356,0,0,1332.408096676699,0.1507053172144479,-0,10,10,110,100,10,36231.75032486024,36231.75032486024,10,10,0,100,10,110,36231.75032486024,10,10,10,0,-0
10.2,-0.2728233965124207,0.3600882722763931,-0.03839775939919292,0.04536569268917776,9.649565562629824,0.02945737816632389,-0.6041540972944544,1.28522990634148,-0.2728233965124207,0.3600882722763931,-1.286284779302392,0.1452785954845863,-0.3600882722763931,10,9.639911727723607,9.572830756827759,-0.09653834906217185,9.639911727723607,3153.094671668421,3153.094671668421,10,9.639911727723607,0.02945737816632389,-0.09653834906217185,9.639911727723607,9.572830756827759,3153.094671668421,9.639911727723607,9.639911727723607,9.639911727723607,0.3600882722763931,-0.3600882722763931
10.8,-0.303456110937446,1.104213816703405,-0.239262629519165,0.4873332076082958,8.904770399552538,0.1132198830415573,0.3273407339190146,1.195999597202627,-0.303456110937446,1.104213816703405,-1.197064248171262,0.1340642278625616,-1.104213816703405,10,8.895786183296595,8.919163903778724,-0.08984216255942812,8.895786183296595,2937.790178801969,2937.790178801969,10,8.895786183296595,0.1132198830415573,-0.08984216255942812,8.895786183296595,8.919163903778724,2937.790178801969,8.895786183296595,8.895786183296595,8.895786183296595,1.104213816703405,-1.104213816703405
11.4,-0.0621681359887938,1.796256795795147,-0.3499768681753851,1.360005907237331,8.21209350884754,0.1904914317680283,0.3730379769562883,1.111615021107797,-0.0621681359887938,1.796256795795147,-1.112601351563222,0.1236347721935564,-1.796256795795147,10,8.203743204204853,8.31073158954602,-0.08350304642686268,8.203743204204853,2737.385017903275,2737.385017903275,10,8.203743204204853,0.1904914317680283,-0.08350304642686268,8.203743204204853,8.31073158954602,2737.385017903275,8.203743204204853,8.203743204204853,8.203743204204853,1.796256795795147,-1.796256795795147
12,0.08430309219295977,2.439109423781705,-0.3352307535091319,2.63300359992439,7.568642465029196,0.261729869987731,0.1098468786872357,1.03202016318024,0.08430309219295977,2.439109423781705,-1.032867941618222,0.1139466412712708,-2.439109423781705,10,7.560890576218295,7.745101558097014,-0.07751888810901164,7.560890576218295,2551.0780535787,2551.0780535787,10,7.560890576218295,0.261729869987731,-0.07751888810901164,7.560890576218295,7.745101558097014,2551.0780535787,7.560890576218295,7.560890576218295,7.560890576218295,2.439109423781705,-2.439109423781705
12.6,0.09189059218843638,3.035619081811328,-0.2774038876774527,4.277669063169392,6.971572248595608,0.3273670772814017,-0.05533160704607551,0.957118327500236,0.09189059218843638,3.035619081811328,-0.958178686007914,0.1049569235477872,-3.035619081811328,10,6.964380918188672,7.219834691400711,-0.07191330406936203,6.964380918188672,2378.065890232681,2378.065890232681,10,6.964380918188672,0.3273670772814017,-0.07191330406936203,6.964380918188672,7.219834691400711,2378.065890232681,6.964380918188672,6.964380918188672,6.964380918188672,3.035619081811328,-3.035619081811328
13.2,0.04927592984145234,3.588568186269457,-0.2347228586272034,6.267034924518383,6.418092803565435,0.387809466291051,-0.06828344021351919,0.8867960130958983,0.04927592984145234,3.588568186269457,-0.8875156787891803,0.09662368652870648,-3.588568186269457,10,6.411431813730543,6.73263138167267,-0.06660989834892383,6.411431813730543,2217.591084091664,2217.591084091664,10,6.411431813730543,0.387809466291051,-0.06660989834892383,6.411431813730543,6.73263138167267,2217.591084091664,6.411431813730543,6.411431813730543,6.411431813730543,3.588568186269457,-3.588568186269457
